"","Entity","Code","Year","nuclear_perc"
"417","India","IND","1972",0.31355593
"418","Indonesia","IDN","1972",0
"419","Iran","IRN","1972",0
"420","Italy","ITA","1972",0.66457486
"421","Japan","JPN","1972",0.73710114
"422","Lower-middle-income countries","","1972",0.19477147
"423","Malaysia","MYS","1972",0
"424","Mexico","MEX","1972",0
"425","Middle East (EI)","","1972",0
"426","Netherlands","NLD","1972",0.11446433
"427","New Zealand","NZL","1972",0
"428","Non-OECD (EI)","","1972",0.16217883
"429","North America","","1972",0.8113851
"430","North America (EI)","","1972",0.82520807
"431","OECD (EI)","","1972",0.92717427
"432","Oceania","","1972",0
"433","Pakistan","PAK","1972",0.6443235
"434","Peru","PER","1972",0
"435","Poland","POL","1972",0
"436","Romania","ROU","1972",0
"437","Saudi Arabia","SAU","1972",0
"438","Slovakia","SVK","1972",0.005328137
"439","South Africa","ZAF","1972",0
"440","South America","","1972",0
"441","South and Central America (EI)","","1972",0.010219434
"442","Spain","ESP","1972",2.1413338
"443","Switzerland","CHE","1972",4.339997
"444","Taiwan","TWN","1972",0
"445","USSR","OWID_USS","1972",0.28715008
"446","United Kingdom","GBR","1972",3.2810078
"447","United States","USA","1972",0.827928
"448","Upper-middle-income countries","","1972",0.17759998
"449","Venezuela","VEN","1972",0
"450","World","OWID_WRL","1972",0.6908929
"451","Africa","","1973",0
"452","Africa (EI)","","1973",0
"453","Algeria","DZA","1973",0
"454","Argentina","ARG","1973",0
"455","Asia","","1973",0.31954685
"456","Asia Pacific (EI)","","1973",0.32926476
"457","Austria","AUT","1973",0
"458","Bangladesh","BGD","1973",0
"459","Belgium","BEL","1973",0.0378119
"460","Brazil","BRA","1973",0
"461","Bulgaria","BGR","1973",0
"462","CIS (EI)","","1973",0.3976964
"463","Canada","CAN","1973",1.9215368
"464","Central America (EI)","","1973",0.19828193
"465","Chile","CHL","1973",0
"466","China","CHN","1973",0
"467","Colombia","COL","1973",0
"468","Czechia","CZE","1973",0
"469","Egypt","EGY","1973",0
"470","Europe","","1973",0.8907015
"471","Europe (EI)","","1973",1.156495
"472","European Union (27)","","1973",0.7878362
"473","France","FRA","1973",1.9235859
"474","Germany","DEU","1973",0.8614975
"475","High-income countries","","1973",1.1515708
"476","Hungary","HUN","1973",0
"477","India","IND","1973",0.64954597
"478","Indonesia","IDN","1973",0
"479","Iran","IRN","1973",0
"480","Italy","ITA","1973",0.5517606
"481","Japan","JPN","1973",0.68027145
"482","Lower-middle-income countries","","1973",0.37773368
"483","Malaysia","MYS","1973",0
"484","Mexico","MEX","1973",0
"485","Middle East (EI)","","1973",0
"486","Netherlands","NLD","1973",0.36571285
"487","New Zealand","NZL","1973",0
"488","Non-OECD (EI)","","1973",0.23097077
"489","North America","","1973",1.2448037
"490","North America (EI)","","1973",1.2668389
"491","OECD (EI)","","1973",1.163698
"492","Oceania","","1973",0
"493","Pakistan","PAK","1973",1.1274239
"494","Peru","PER","1973",0
"495","Poland","POL","1973",0
"496","Romania","ROU","1973",0
"497","Saudi Arabia","SAU","1973",0
