"","Entity","Code","Year","source","energy_twh","energy_prop"
"89","Australia","AUS",2019,"renewables",53.41,0.213759705435044
"90","Australia","AUS",2019,"fossil_fuels",196.45,0.786240294564956
"91","Australia","AUS",2020,"nuclear",0,0
"92","Australia","AUS",2020,"renewables",63.99,0.255031684667809
"93","Australia","AUS",2020,"fossil_fuels",186.92,0.744968315332191
"94","Australia","AUS",2021,"nuclear",0,0
"95","Australia","AUS",2021,"renewables",71.98,0.291346231684611
"96","Australia","AUS",2021,"fossil_fuels",175.08,0.708653768315389
"97","Australia","AUS",2022,"nuclear",0,0
"98","Australia","AUS",2022,"renewables",81.3,0.323029243483789
"99","Australia","AUS",2022,"fossil_fuels",170.38,0.676970756516211
"100","Finland","FIN",1990,"nuclear",19.22,0.353373781945211
"101","Finland","FIN",1990,"renewables",16.02,0.29453943739658
"102","Finland","FIN",1990,"fossil_fuels",19.15,0.352086780658209
"103","Finland","FIN",1991,"nuclear",19.51,0.336495343221801
"104","Finland","FIN",1991,"renewables",18.2,0.31390134529148
"105","Finland","FIN",1991,"fossil_fuels",20.27,0.34960331148672
"106","Finland","FIN",1992,"nuclear",19.26,0.333622033604712
"107","Finland","FIN",1992,"renewables",20.06,0.347479646630868
"108","Finland","FIN",1992,"fossil_fuels",18.41,0.318898319764421
"109","Finland","FIN",1993,"nuclear",19.93,0.326293385723641
"110","Finland","FIN",1993,"renewables",19.44,0.318271119842829
"111","Finland","FIN",1993,"fossil_fuels",21.71,0.35543549443353
"112","Finland","FIN",1994,"nuclear",19.43,0.296008531383303
"113","Finland","FIN",1994,"renewables",18.27,0.278336380255941
"114","Finland","FIN",1994,"fossil_fuels",27.94,0.425655088360756
"115","Finland","FIN",1995,"nuclear",19.22,0.300124921923798
"116","Finland","FIN",1995,"renewables",19.55,0.30527795128045
"117","Finland","FIN",1995,"fossil_fuels",25.27,0.394597126795753
"118","Finland","FIN",1996,"nuclear",19.48,0.280772556932834
"119","Finland","FIN",1996,"renewables",17.76,0.255981550879216
"120","Finland","FIN",1996,"fossil_fuels",32.14,0.46324589218795
"121","Finland","FIN",1997,"nuclear",20.89,0.302053209947947
"122","Finland","FIN",1997,"renewables",20.15,0.291353383458647
"123","Finland","FIN",1997,"fossil_fuels",28.12,0.406593406593407
"124","Finland","FIN",1998,"nuclear",21.85,0.311475409836066
"125","Finland","FIN",1998,"renewables",24.4,0.347826086956522
"126","Finland","FIN",1998,"fossil_fuels",23.9,0.340698503207413
"127","Finland","FIN",1999,"nuclear",22.97,0.330693924560898
"128","Finland","FIN",1999,"renewables",21.19,0.305067664843075
"129","Finland","FIN",1999,"fossil_fuels",25.3,0.364238410596026
"130","Finland","FIN",2000,"nuclear",22.48,0.322109184696948
"131","Finland","FIN",2000,"renewables",23.38,0.335005015045135
"132","Finland","FIN",2000,"fossil_fuels",23.93,0.342885800257917
"133","Finland","FIN",2001,"nuclear",22.77,0.306501547987616
"134","Finland","FIN",2001,"renewables",21.54,0.289944810876296
"135","Finland","FIN",2001,"fossil_fuels",29.98,0.403553641136088
"136","Finland","FIN",2002,"nuclear",22.3,0.298407600695838
"137","Finland","FIN",2002,"renewables",19.83,0.265355279004416
"138","Finland","FIN",2002,"fossil_fuels",32.6,0.436237120299746
"139","Finland","FIN",2003,"nuclear",22.73,0.270337773549001
"140","Finland","FIN",2003,"renewables",19.06,0.226688867745005
"141","Finland","FIN",2003,"fossil_fuels",42.29,0.502973358705994
"142","Finland","FIN",2004,"nuclear",22.72,0.265420560747664
"143","Finland","FIN",2004,"renewables",25.63,0.299415887850467
"144","Finland","FIN",2004,"fossil_fuels",37.25,0.435163551401869
"145","Finland","FIN",2005,"nuclear",23.27,0.33086876155268
"146","Finland","FIN",2005,"renewables",23.46,0.333570311389165
"147","Finland","FIN",2005,"fossil_fuels",23.6,0.335560927058154
"148","Finland","FIN",2006,"nuclear",22.91,0.27921998781231
"149","Finland","FIN",2006,"renewables",22.46,0.273735527117611
"150","Finland","FIN",2006,"fossil_fuels",36.68,0.447044485070079
"151","Finland","FIN",2007,"nuclear",23.42,0.289421651013347
"152","Finland","FIN",2007,"renewables",24.32,0.300543746910529
"153","Finland","FIN",2007,"fossil_fuels",33.18,0.410034602076125
"154","Finland","FIN",2008,"nuclear",22.96,0.298259288126786
"155","Finland","FIN",2008,"renewables",27.77,0.360743050142894
"156","Finland","FIN",2008,"fossil_fuels",26.25,0.34099766173032
"157","Finland","FIN",2009,"nuclear",23.53,0.327807188631931
"158","Finland","FIN",2009,"renewables",21.7,0.302312621900251
"159","Finland","FIN",2009,"fossil_fuels",26.55,0.369880189467818
"160","Finland","FIN",2010,"nuclear",22.8,0.283793876026886
"161","Finland","FIN",2010,"renewables",24.18,0.300970873786408
"162","Finland","FIN",2010,"fossil_fuels",33.36,0.415235250186706
"163","Finland","FIN",2011,"nuclear",23.19,0.316760005463734
"164","Finland","FIN",2011,"renewables",24.18,0.330282748258435
"165","Finland","FIN",2011,"fossil_fuels",25.84,0.352957246277831
"166","Finland","FIN",2012,"nuclear",22.99,0.328006848337851
"167","Finland","FIN",2012,"renewables",28.56,0.407476102154373
"168","Finland","FIN",2012,"fossil_fuels",18.54,0.264517049507776
"169","Finland","FIN",2013,"nuclear",23.61,0.332628909551987
"170","Finland","FIN",2013,"renewables",25.63,0.3610876303184
"171","Finland","FIN",2013,"fossil_fuels",21.74,0.306283460129614
"172","Finland","FIN",2014,"nuclear",23.58,0.34773632207639
"173","Finland","FIN",2014,"renewables",26.28,0.387553458192007
"174","Finland","FIN",2014,"fossil_fuels",17.95,0.264710219731603
"175","Finland","FIN",2015,"nuclear",23.25,0.34011117612639
"176","Finland","FIN",2015,"renewables",30.53,0.446606202457578
"177","Finland","FIN",2015,"fossil_fuels",14.58,0.213282621416033
"178","Finland","FIN",2016,"nuclear",23.2,0.338785046728972
"179","Finland","FIN",2016,"renewables",30.41,0.444071261682243
"180","Finland","FIN",2016,"fossil_fuels",14.87,0.217143691588785
"181","Finland","FIN",2017,"nuclear",22.48,0.334872635185461
"182","Finland","FIN",2017,"renewables",31.48,0.468940861015939
"183","Finland","FIN",2017,"fossil_fuels",13.17,0.1961865037986
"184","Finland","FIN",2018,"nuclear",22.79,0.325664475564447
"185","Finland","FIN",2018,"renewables",32.14,0.459274078308088
"186","Finland","FIN",2018,"fossil_fuels",15.05,0.215061446127465
"187","Finland","FIN",2019,"nuclear",23.87,0.349078677976016
"188","Finland","FIN",2019,"renewables",31.88,0.466218192453934
"189","Finland","FIN",2019,"fossil_fuels",12.63,0.18470312957005
"190","Finland","FIN",2020,"nuclear",23.29,0.33734067207416
"191","Finland","FIN",2020,"renewables",35.93,0.520422943221321
"192","Finland","FIN",2020,"fossil_fuels",9.82,0.142236384704519
"193","Finland","FIN",2021,"nuclear",23.6,0.328370669263949
"194","Finland","FIN",2021,"renewables",38.18,0.531236955614304
"195","Finland","FIN",2021,"fossil_fuels",10.09,0.140392375121748
"196","Finland","FIN",2022,"nuclear",25.06,0.343334703384025
"197","Finland","FIN",2022,"renewables",40.07,0.548979312234553
"198","Finland","FIN",2022,"fossil_fuels",7.86,0.107685984381422
"199","France","FRA",1990,"nuclear",314.08,0.752828379674017
"200","France","FRA",1990,"renewables",55.78,0.133700862895494
"201","France","FRA",1990,"fossil_fuels",47.34,0.113470757430489
"202","France","FRA",1991,"nuclear",331.34,0.733669904346596
"203","France","FRA",1991,"renewables",59.71,0.132212923246621
"204","France","FRA",1991,"fossil_fuels",60.569997,0.134117172406783
"205","France","FRA",1992,"nuclear",338.45,0.735728881352985
"206","France","FRA",1992,"renewables",71.1,0.154558497456632
"207","France","FRA",1992,"fossil_fuels",50.47,0.109712621190383
"208","France","FRA",1993,"nuclear",368.19,0.783950091555593
"209","France","FRA",1993,"renewables",66.86,0.142358301750202
"210","France","FRA",1993,"fossil_fuels",34.61,0.0736916066942043
"211","France","FRA",1994,"nuclear",359.98,0.758491361146228
"212","France","FRA",1994,"renewables",80.95,0.170564686051412
"213","France","FRA",1994,"fossil_fuels",33.67,0.0709439528023599
"214","France","FRA",1995,"nuclear",377.23,0.767976384364821
"215","France","FRA",1995,"renewables",75.45,0.15360342019544
"216","France","FRA",1995,"fossil_fuels",38.52,0.0784201954397394
"217","France","FRA",1996,"nuclear",397.34,0.780383376541755
"218","France","FRA",1996,"renewables",68.47,0.134476392489591
"219","France","FRA",1996,"fossil_fuels",43.35,0.0851402309686543
"220","France","FRA",1997,"nuclear",395.48,0.789444267007346
"221","France","FRA",1997,"renewables",66.44,0.132625359310125
"222","France","FRA",1997,"fossil_fuels",39.04,0.0779303736825295
"223","France","FRA",1998,"nuclear",387.99,0.764889107934943
"224","France","FRA",1998,"renewables",64.76,0.127668802365697
"225","France","FRA",1998,"fossil_fuels",54.5,0.107442089699359
"226","France","FRA",1999,"nuclear",394.24,0.756364752604416
"227","France","FRA",1999,"renewables",75.4,0.14465782859774
"228","France","FRA",1999,"fossil_fuels",51.59,0.0989774187978436
"229","France","FRA",2000,"nuclear",415.16,0.778035982008995
"230","France","FRA",2000,"renewables",67.83,0.127117691154423
"231","France","FRA",2000,"fossil_fuels",50.61,0.0948463268365817
"232","France","FRA",2001,"nuclear",421.08,0.77454244458751
"233","France","FRA",2001,"renewables",76.09,0.139961372206383
"234","France","FRA",2001,"fossil_fuels",46.48,0.0854961832061069
"235","France","FRA",2002,"nuclear",436.76,0.791059914511338
"236","France","FRA",2002,"renewables",62.69,0.113544157067304
"237","France","FRA",2002,"fossil_fuels",52.67,0.0953959284213577
"238","France","FRA",2003,"nuclear",441.07,0.787737533933419
"239","France","FRA",2003,"renewables",61.47,0.109783540505787
"240","France","FRA",2003,"fossil_fuels",57.38,0.102478925560794
"241","France","FRA",2004,"nuclear",448.24,0.790281916112766
"242","France","FRA",2004,"renewables",62.42,0.110051305558984
"243","France","FRA",2004,"fossil_fuels",56.53,0.0996667783282498
"244","France","FRA",2005,"nuclear",451.53,0.792352507633454
"245","France","FRA",2005,"renewables",54.98,0.0964798371529849
"246","France","FRA",2005,"fossil_fuels",63.35,0.111167655213561
"247","France","FRA",2006,"nuclear",450.19,0.792588028169014
"248","France","FRA",2006,"renewables",60.91,0.107235915492958
"249","France","FRA",2006,"fossil_fuels",56.9,0.100176056338028
"250","France","FRA",2007,"nuclear",439.73,0.782145461660234
"251","France","FRA",2007,"renewables",64.3,0.11437007523879
"252","France","FRA",2007,"fossil_fuels",58.18,0.103484463100976
"253","France","FRA",2008,"nuclear",439.45,0.774565964572134
"254","France","FRA",2008,"renewables",72.33,0.127487441614524
"255","France","FRA",2008,"fossil_fuels",55.57,0.0979465938133427
"256","France","FRA",2009,"nuclear",409.74,0.774248408004384
"257","France","FRA",2009,"renewables",68.15,0.128776856068479
"258","France","FRA",2009,"fossil_fuels",51.32,0.0969747359271367
"259","France","FRA",2010,"nuclear",428.52,0.761366664889931
"260","France","FRA",2010,"renewables",76.68,0.136240072490805
"261","France","FRA",2010,"fossil_fuels",57.63,0.102393262619263
"262","France","FRA",2011,"nuclear",442.39,0.779679238632358
"263","France","FRA",2011,"renewables",66.02,0.116355304899542
"264","France","FRA",2011,"fossil_fuels",58.99,0.1039654564681
"265","France","FRA",2012,"nuclear",425.41,0.750176341962333
"266","France","FRA",2012,"renewables",85.25,0.150331522889187
"267","France","FRA",2012,"fossil_fuels",56.42,0.0994921351484799
"268","France","FRA",2013,"nuclear",423.68,0.734981351374794
"269","France","FRA",2013,"renewables",99.42,0.172469424928441
"270","France","FRA",2013,"fossil_fuels",53.35,0.0925492236967647
"271","France","FRA",2014,"nuclear",436.48,0.770907292604956
"272","France","FRA",2014,"renewables",94.03,0.166074992493686
"273","France","FRA",2014,"fossil_fuels",35.68,0.0630177149013582
"274","France","FRA",2015,"nuclear",437.43,0.762179397825481
"275","France","FRA",2015,"renewables",91.84,0.160022302759967
"276","France","FRA",2015,"fossil_fuels",44.65,0.0777982994145526
"277","France","FRA",2016,"nuclear",403.2,0.721739908708494
"278","France","FRA",2016,"renewables",99,0.177212924013246
"279","France","FRA",2016,"fossil_fuels",56.45,0.10104716727826
"280","France","FRA",2017,"nuclear",398.36,0.716371745072651
"281","France","FRA",2017,"renewables",92.63,0.16657675154654
"282","France","FRA",2017,"fossil_fuels",65.09,0.117051503380809
"283","France","FRA",2018,"nuclear",412.94,0.717121372627338
"284","France","FRA",2018,"renewables",113.62,0.19731517982738
"285","France","FRA",2018,"fossil_fuels",49.27,0.0855634475452824
"286","France","FRA",2019,"nuclear",399.01,0.705313582691084
"287","France","FRA",2019,"renewables",113.21,0.200116665488227
"288","France","FRA",2019,"fossil_fuels",53.5,0.0945697518206887
