"","Entity","Code","Year","low_carbon_perc"
"530","France","FRA","2020",90.869606
"531","Germany","DEU","2020",55.681694
"532","India","IND","2020",23.060581
"533","Japan","JPN","2020",25.666662
"534","Norway","NOR","2020",98.57412
"535","Russia","RUS","2020",41.390167
"536","South Africa","ZAF","2020",11.015995
"537","Sweden","SWE","2020",98.5103
"538","United Kingdom","GBR","2020",59.403976
"539","United States","USA","2020",39.8518
"540","World","OWID_WRL","2020",38.4769
"541","Australia","AUS","2021",29.134624
"542","Brazil","BRA","2021",78.98971
"543","Canada","CAN","2021",82.126366
"544","China","CHN","2021",33.71079
"545","France","FRA","2021",91.15884
"546","Germany","DEU","2021",51.591988
"547","India","IND","2021",21.947191
"548","Japan","JPN","2021",28.997528
"549","Norway","NOR","2021",99.31284
"550","Russia","RUS","2021",39.992435
"551","South Africa","ZAF","2021",13.006272
"552","Sweden","SWE","2021",98.218544
"553","United Kingdom","GBR","2021",55.04623
"554","United States","USA","2021",39.513245
"555","World","OWID_WRL","2021",38.20234
"556","Australia","AUS","2022",32.30293
"557","Brazil","BRA","2022",89.075905
"558","Canada","CAN","2022",82.63212
"559","China","CHN","2022",35.397717
"560","France","FRA","2022",87.84612
"561","Germany","DEU","2022",49.216866
"562","India","IND","2022",22.994097
"563","Japan","JPN","2022",28.988747
"564","Norway","NOR","2022",98.97171
"565","Russia","RUS","2022",38.66969
"566","South Africa","ZAF","2022",13.806179
"567","Sweden","SWE","2022",98.21762
"568","United Kingdom","GBR","2022",56.27135
"569","United States","USA","2022",40.476578
"570","World","OWID_WRL","2022",39.058834
